MAC003235,0.147,Affluent,Std
MAC004712,0.848,Affluent,Std
MAC000005,0.183,Affluent,ToU
MAC004712,0.872,Affluent,Std
MAC000005,0.097,Affluent,ToU
MAC004455,0.083,Affluent,Std
MAC005490,0.606,Affluent,Std
MAC004108,0.069,Affluent,Std
MAC000005,0.105,Affluent,ToU
MAC003592,0.06,Affluent,Std
MAC004108,0.111,Affluent,Std
MAC004108,0.262,Affluent,Std
MAC004249,0.954,Affluent,Std
MAC004504,0.456,Affluent,Std
MAC004369,0.11,Affluent,Std
MAC003278,0.375,Affluent,Std
MAC000017,0.092,Affluent,ToU
MAC003275,0.165,Affluent,Std
MAC004369,0.161,Affluent,Std
MAC000017,0.147,Affluent,ToU
MAC003907,0.985,Affluent,Std
MAC003907,0.128,Affluent,Std
MAC004925,0.059,Affluent,Std
MAC004455,0.092,Affluent,Std
MAC004925,0.42,Affluent,Std
MAC004455,0.087,Affluent,Std
MAC004925,0.305,Affluent,Std
MAC004455,0.1,Affluent,Std
MAC003061,1.327,Affluent,ToU
MAC003299,0.238,Affluent,Std
MAC004447,0.523,Affluent,Std
MAC004447,0.235,Affluent,Std
MAC004447,0.068,Affluent,Std
MAC003787,0.074,Affluent,Std
MAC005509,0.125,Affluent,Std
MAC005506,0.363,Affluent,Std
MAC005506,0.076,Affluent,Std
MAC004040,0.078,Affluent,Std
MAC004040,0.034,Affluent,Std
MAC003283,0.217,Affluent,Std
MAC003755,0.433,Affluent,Std
MAC003283,0.198,Affluent,Std
MAC004040,0.029,Affluent,Std
MAC003283,0.528,Affluent,Std
MAC004367,0.134,Affluent,Std
MAC003275,0.138,Affluent,Std
MAC003584,0.139,Affluent,Std
MAC004108,0.075,Affluent,Std
MAC004925,0.089,Affluent,Std
MAC004504,0.349,Affluent,Std
MAC000598,0.215,Affluent,ToU
MAC000017,0.083,Affluent,ToU
MAC003933,0.22,Affluent,Std
MAC004406,0.138,Affluent,Std
MAC003642,0.084,Affluent,Std
MAC004664,0.142,Affluent,Std
MAC004406,0.063,Affluent,Std
MAC004925,0.297,Affluent,Std
MAC004925,0.186,Affluent,Std
MAC004925,0.476,Affluent,Std
MAC003287,0.251,Affluent,Std
MAC003287,0.048,Affluent,Std
MAC003287,0.056,Affluent,Std
MAC004455,1.823,Affluent,Std
MAC003907,1.751,Affluent,Std
MAC003907,0.126,Affluent,Std
MAC003235,0.117,Affluent,Std
MAC004925,0.09,Affluent,Std
MAC003278,0.539,Affluent,Std
MAC004989,0.091,Affluent,Std
MAC004369,0.125,Affluent,Std
MAC003639,0.169,Affluent,Std
MAC003278,0.458,Affluent,Std
MAC004585,0.18,Affluent,Std
MAC004029,0.171,Affluent,Std
MAC004585,0.062,Affluent,Std
MAC003231,0.171,Affluent,Std
MAC004455,0.595,Affluent,Std
MAC003787,0.113,Affluent,Std
MAC003787,0.115,Affluent,Std
MAC004925,0.142,Affluent,Std
MAC004249,1.337,Affluent,Std
MAC004249,0.236,Affluent,Std
MAC004249,0.967,Affluent,Std
MAC003231,0.207,Affluent,Std
MAC004249,0.282,Affluent,Std
MAC004925,0.047,Affluent,Std
MAC004249,0.99,Affluent,Std
MAC003231,0.197,Affluent,Std
MAC003313,0.269,Affluent,Std
MAC003287,0.038,Affluent,Std
MAC003235,0.109,Affluent,Std
MAC003287,0.066,Affluent,Std
MAC003287,0.124,Affluent,Std
MAC003907,0.266,Affluent,Std
MAC004406,0.199,Affluent,Std
MAC003642,0.623,Affluent,Std
MAC003288,0.114,Affluent,Std
MAC003731,0.092,Affluent,Std
MAC004406,0.264,Affluent,Std
MAC004406,0.172,Affluent,Std
MAC002797,0.048,Affluent,ToU
MAC004369,0.09,Affluent,Std
MAC004369,0.295,Affluent,Std
MAC003639,0.685,Affluent,Std
MAC004585,0.438,Affluent,Std
MAC003639,0.658,Affluent,Std
MAC003231,0.119,Affluent,Std
MAC004585,0.062,Affluent,Std
MAC003639,1.351,Affluent,Std
MAC003061,0.174,Affluent,ToU
MAC004447,0.097,Affluent,Std
MAC003912,0.109,Affluent,Std
MAC003933,0.236,Affluent,Std
MAC004415,0.055,Affluent,Std
MAC003933,0.209,Affluent,Std
MAC004415,0.066,Affluent,Std
MAC003912,0.161,Affluent,Std
MAC003912,0.156,Affluent,Std
MAC005490,0.444,Affluent,Std
MAC003642,1.143,Affluent,Std
MAC004406,0.1,Affluent,Std
MAC004664,0.125,Affluent,Std
MAC003642,0.189,Affluent,Std
MAC004406,0.054,Affluent,Std
MAC003642,0.452,Affluent,Std
MAC004406,0.071,Affluent,Std
MAC000017,0.043,Affluent,ToU
MAC000017,0.215,Affluent,ToU
MAC000017,0.152,Affluent,ToU
MAC004925,0.13,Affluent,Std
MAC003313,0.547,Affluent,Std
MAC004249,0.552,Affluent,Std
MAC004455,0.338,Affluent,Std
MAC003231,0.493,Affluent,Std
MAC003231,0.408,Affluent,Std
MAC003313,0.077,Affluent,Std
MAC004249,0.512,Affluent,Std
