temp_max,weather_icon,cloud_cover,wind_speed,humidity,weather_date,temp_min,weather_summary
12.19,fog,0.82,4.54,0.95,6/2/2012 23:00,10.97,Foggy in the morning.
24.99,partly-cloudy-day,0.23,0.55,0.7,8/9/2012 23:00,14.5,Partly cloudy throughout the day.
10.61,partly-cloudy-day,0.59,5.39,0.73,2/15/2012 0:00,6.93,Partly cloudy throughout the day.
18,partly-cloudy-day,0.61,3.31,0.85,7/8/2012 23:00,14.38,Mostly cloudy throughout the day.
19.44,partly-cloudy-day,0.48,4.86,0.67,6/16/2012 23:00,12.46,Partly cloudy throughout the day.
12.46,partly-cloudy-day,0.37,3.28,0.83,4/19/2012 23:00,5.34,Partly cloudy throughout the day.
12.34,partly-cloudy-day,0.64,3.72,0.78,11/8/2012 0:00,7.81,Mostly cloudy throughout the day.
24.79,partly-cloudy-day,0.42,1.9,0.77,9/3/2012 23:00,13.71,Partly cloudy throughout the day.
14.74,wind,0.39,5.37,0.74,10/15/2012 23:00,9.06,Partly cloudy throughout the day and breezy until afternoon.
17.46,partly-cloudy-day,0.55,3.33,0.84,7/9/2012 23:00,13.28,Partly cloudy throughout the day.
17.77,partly-cloudy-day,0.54,1.52,0.79,7/19/2012 23:00,13.12,Partly cloudy throughout the day.
22.8,partly-cloudy-day,0.54,1.73,0.77,8/7/2012 23:00,15.03,Partly cloudy until evening.
6.01,partly-cloudy-night,0.14,0.99,0.86,1/14/2012 0:00,-1.79,Mostly cloudy starting in the evening.
15.6,wind,0.61,3,0.86,10/4/2012 23:00,9.16,Mostly cloudy throughout the day and breezy in the morning.
4.84,partly-cloudy-night,0.43,3.07,0.84,12/6/2012 0:00,-2.82,Mostly cloudy throughout the day.
12.41,fog,0.54,2.03,0.8,3/14/2012 0:00,5.03,Foggy overnight.
12.41,wind,0.48,8.47,0.82,1/3/2012 0:00,5.96,Windy until afternoon and mostly cloudy until evening.
16.3,partly-cloudy-day,0.27,3.65,0.63,9/18/2012 23:00,7.35,Partly cloudy throughout the day.
10.05,partly-cloudy-night,0.47,6.18,0.78,1/20/2012 0:00,4.91,Mostly cloudy throughout the day.
17.12,partly-cloudy-day,0.16,1.28,0.71,3/29/2012 23:00,7.81,Partly cloudy until afternoon.
18.52,partly-cloudy-day,0.72,5.3,0.85,7/17/2012 23:00,14.91,Mostly cloudy throughout the day.
10.86,partly-cloudy-day,0.64,4.01,0.78,3/9/2012 0:00,6.74,Mostly cloudy throughout the day.
8.47,partly-cloudy-day,0.72,3.98,0.9,11/27/2012 0:00,6.42,Mostly cloudy throughout the day.
17.59,wind,0.47,4.96,0.78,6/14/2012 23:00,12.91,Partly cloudy throughout the day and breezy until evening.
14.01,fog,0.61,0.86,0.91,10/19/2012 23:00,9.57,Foggy in the morning.
12.33,partly-cloudy-day,0.68,4.05,0.84,1/9/2012 0:00,7.74,Mostly cloudy throughout the day.
19.97,partly-cloudy-day,0.27,3.26,0.6,9/4/2012 23:00,12.07,Partly cloudy until evening.
17.82,partly-cloudy-day,0.37,4.84,0.62,9/10/2012 23:00,11.73,Partly cloudy throughout the day.
